prompt,label,classname
a photo of a tench and a,0,tench
a photo of a goldfish and a,1,goldfish
a photo of a great white shark and a,2,great white shark
a photo of a tiger shark and a,3,tiger shark
a photo of a hammerhead shark and a,4,hammerhead shark
a photo of a electric ray and a,5,electric ray
a photo of a stingray and a,6,stingray
a photo of a rooster and a,7,rooster
a photo of a hen and a,8,hen
a photo of a ostrich and a,9,ostrich
a photo of a brambling and a,10,brambling
a photo of a goldfinch and a,11,goldfinch
a photo of a house finch and a,12,house finch
a photo of a junco and a,13,junco
a photo of a indigo bunting and a,14,indigo bunting
a photo of a American robin and a,15,American robin
a photo of a bulbul and a,16,bulbul
a photo of a jay and a,17,jay
a photo of a magpie and a,18,magpie
a photo of a chickadee and a,19,chickadee
a photo of a American dipper and a,20,American dipper
a photo of a kite (bird of prey) and a,21,kite (bird of prey)
a photo of a bald eagle and a,22,bald eagle
a photo of a vulture and a,23,vulture
a photo of a great grey owl and a,24,great grey owl
a photo of a fire salamander and a,25,fire salamander
a photo of a smooth newt and a,26,smooth newt
a photo of a newt and a,27,newt
a photo of a spotted salamander and a,28,spotted salamander
a photo of a axolotl and a,29,axolotl
a photo of a American bullfrog and a,30,American bullfrog
a photo of a tree frog and a,31,tree frog
a photo of a tailed frog and a,32,tailed frog
a photo of a loggerhead sea turtle and a,33,loggerhead sea turtle
a photo of a leatherback sea turtle and a,34,leatherback sea turtle
a photo of a mud turtle and a,35,mud turtle
a photo of a terrapin and a,36,terrapin
a photo of a box turtle and a,37,box turtle
a photo of a banded gecko and a,38,banded gecko
a photo of a green iguana and a,39,green iguana
a photo of a Carolina anole and a,40,Carolina anole
a photo of a desert grassland whiptail lizard and a,41,desert grassland whiptail lizard
a photo of a agama and a,42,agama
a photo of a frilled-necked lizard and a,43,frilled-necked lizard
a photo of a alligator lizard and a,44,alligator lizard
a photo of a Gila monster and a,45,Gila monster
a photo of a European green lizard and a,46,European green lizard
a photo of a chameleon and a,47,chameleon
a photo of a Komodo dragon and a,48,Komodo dragon
a photo of a Nile crocodile and a,49,Nile crocodile
a photo of a American alligator and a,50,American alligator
a photo of a triceratops and a,51,triceratops
a photo of a worm snake and a,52,worm snake
a photo of a ring-necked snake and a,53,ring-necked snake
a photo of a eastern hog-nosed snake and a,54,eastern hog-nosed snake
a photo of a smooth green snake and a,55,smooth green snake
a photo of a kingsnake and a,56,kingsnake
a photo of a garter snake and a,57,garter snake
a photo of a water snake and a,58,water snake
a photo of a vine snake and a,59,vine snake
a photo of a night snake and a,60,night snake
a photo of a boa constrictor and a,61,boa constrictor
a photo of a African rock python and a,62,African rock python
a photo of a Indian cobra and a,63,Indian cobra
a photo of a green mamba and a,64,green mamba
a photo of a sea snake and a,65,sea snake
a photo of a Saharan horned viper and a,66,Saharan horned viper
a photo of a eastern diamondback rattlesnake and a,67,eastern diamondback rattlesnake
a photo of a sidewinder rattlesnake and a,68,sidewinder rattlesnake
a photo of a trilobite and a,69,trilobite
a photo of a harvestman and a,70,harvestman
a photo of a scorpion and a,71,scorpion
a photo of a yellow garden spider and a,72,yellow garden spider
a photo of a barn spider and a,73,barn spider
a photo of a European garden spider and a,74,European garden spider
a photo of a southern black widow and a,75,southern black widow
a photo of a tarantula and a,76,tarantula
a photo of a wolf spider and a,77,wolf spider
a photo of a tick and a,78,tick
a photo of a centipede and a,79,centipede
a photo of a black grouse and a,80,black grouse
a photo of a ptarmigan and a,81,ptarmigan
a photo of a ruffed grouse and a,82,ruffed grouse
a photo of a prairie grouse and a,83,prairie grouse
a photo of a peafowl and a,84,peafowl
a photo of a quail and a,85,quail
a photo of a partridge and a,86,partridge
a photo of a african grey parrot and a,87,african grey parrot
a photo of a macaw and a,88,macaw
a photo of a sulphur-crested cockatoo and a,89,sulphur-crested cockatoo
a photo of a lorikeet and a,90,lorikeet
a photo of a coucal and a,91,coucal
a photo of a bee eater and a,92,bee eater
a photo of a hornbill and a,93,hornbill
a photo of a hummingbird and a,94,hummingbird
a photo of a jacamar and a,95,jacamar
a photo of a toucan and a,96,toucan
a photo of a duck and a,97,duck
a photo of a red-breasted merganser and a,98,red-breasted merganser
a photo of a goose and a,99,goose
a photo of a black swan and a,100,black swan
a photo of a tusker and a,101,tusker
a photo of a echidna and a,102,echidna
a photo of a platypus and a,103,platypus
a photo of a wallaby and a,104,wallaby
a photo of a koala and a,105,koala
a photo of a wombat and a,106,wombat
a photo of a jellyfish and a,107,jellyfish
a photo of a sea anemone and a,108,sea anemone
a photo of a brain coral and a,109,brain coral
a photo of a flatworm and a,110,flatworm
a photo of a nematode and a,111,nematode
a photo of a conch and a,112,conch
a photo of a snail and a,113,snail
a photo of a slug and a,114,slug
a photo of a sea slug and a,115,sea slug
a photo of a chiton and a,116,chiton
a photo of a chambered nautilus and a,117,chambered nautilus
a photo of a Dungeness crab and a,118,Dungeness crab
a photo of a rock crab and a,119,rock crab
a photo of a fiddler crab and a,120,fiddler crab
a photo of a red king crab and a,121,red king crab
a photo of a American lobster and a,122,American lobster
a photo of a spiny lobster and a,123,spiny lobster
a photo of a crayfish and a,124,crayfish
a photo of a hermit crab and a,125,hermit crab
a photo of a isopod and a,126,isopod
a photo of a white stork and a,127,white stork
a photo of a black stork and a,128,black stork
a photo of a spoonbill and a,129,spoonbill
a photo of a flamingo and a,130,flamingo
a photo of a little blue heron and a,131,little blue heron
a photo of a great egret and a,132,great egret
a photo of a bittern bird and a,133,bittern bird
a photo of a crane bird and a,134,crane bird
a photo of a limpkin and a,135,limpkin
a photo of a common gallinule and a,136,common gallinule
a photo of a American coot and a,137,American coot
a photo of a bustard and a,138,bustard
a photo of a ruddy turnstone and a,139,ruddy turnstone
