prompt,label,classname
"The tench is a freshwater fish with a thick, olive-green body, small scales, and a pair of barbels around its mouth, giving it a distinctive appearance.",0,tench
"Known for their vibrant orange color, goldfish are small, ornamental fish with a variety of tail shapes and lengths, often seen in aquariums and ponds.",1,goldfish
"This large, predatory great white shark has a torpedo-shaped body, a conical snout, and rows of serrated teeth. Its upper body is gray, while its underside is a lighter shade of white, providing effective camouflage in the ocean.",2,great white shark
"Named after the dark, vertical stripes on its body, the tiger shark has a stout and streamlined shape, a blunt snout, and sharp, serrated teeth, making it a formidable predator.",3,tiger shark
"This unique hammerhead shark species is known for its distinct hammer-shaped head, which features widely spaced eyes, providing them with a greater visual range.",4,hammerhead shark
"Electric rays are flattened, disc-shaped fish with smooth skin and a pair of kidney-shaped electric organs on each side of their body, used for hunting prey and self-defense.",5,electric ray
"With a flat, diamond-shaped body, long, whip-like tail, and large pectoral fins, stingrays are easily recognizable. Their tail contains a venomous spine, used for self-defense.",6,stingray
"Known for their vibrant plumage, roosters have an upright posture, a fan-shaped tail, and a distinctive red comb and wattles on their head, distinguishing them from hens.",7,rooster
"Hens are generally smaller than roosters, with more modest plumage in shades of brown or white. They have a rounded body and a smaller comb and wattles compared to roosters.",8,hen
"The largest living bird, ostriches are flightless and characterized by their long, slender necks, large, round bodies, and long, powerful legs, making them the fastest runners among birds. Their feathers are sparse and primarily gray or brown in color.",9,ostrich
"A small passerine bird, the brambling has a robust beak, a dark head, and a white belly. Males have vibrant orange feathers on their chest and shoulders, while females have more subdued colors.",10,brambling
"Known for their striking yellow and black plumage, goldfinches have a red face, black and white wings, and a notched tail, making them easily recognizable.",11,goldfinch
"These small house finch have a stout body, a short, notched tail, and a strong, conical beak. Males are brightly colored, with red or orange plumage on their head and chest, while females are mostly gray-brown.",12,house finch
"With a gray or brown body, white belly, and dark eyes, juncos have a distinctive appearance. They also have a short, stout beak and a dark, forked tail.",13,junco
"Sporting a vivid blue plumage, indigo buntings are small birds with a conical beak and a short, notched tail. Females are a more modest brown color.",14,indigo bunting
"A familiar sight in North America, American robins have a reddish-orange chest, a gray-brown back, and a white belly, along with a dark, rounded head and a yellow beak.",15,American robin
"These medium-sized bulbul have a slender body, a distinct crest on their head, and a long, curved tail. They come in various shades of brown, with some species having splashes of color on their heads or throats.",16,bulbul
"Jays are medium-sized, colorful birds with a distinctive crest, a stout body, and strong legs. They have striking blue and white plumage on their wings and a black and white tail.",17,jay
"Known for their long tail and striking black and white plumage, magpies have a distinctive appearance, complete with a strong, black beak and a white belly.",18,magpie
"These small, round chickadee have a black cap and bib, white cheeks, and a gray back. They are known for their short, strong beaks and their sociable nature.",19,chickadee
"A small, plump bird with a slate-gray color, the American dipper has a short tail, white eyelids, and a distinctive bobbing motion when perched near water.",20,American dipper
